artist,songs,popularity,link,genre
Thousand Foot Krutch,109,0.5,/thousand-foot-krutch/,Rock
Three Days Grace,85,2.6,/three-days-grace/,Rock
Thunderbird e Devotos DNSA,8,0,/thunderbird-e-devotos-dnsa/,Rock
Tihuana,73,0.6,/tihuana/,Rock
TNT (Brasil),57,0,/tnt-brasil/,Rock
To Have Heroes,5,0,/to-have-heroes/,Rock
Toby Mac,100,0.4,/toby-mac/,Rock
Tom Petty,199,0,/tom-petty-and-the-heartbreakers/,Rock
TÃ_paz,55,0,/banda-topaz/,Rock
Tori Amos,280,0.4,/tori-amos/,Rock
Tori Nogueira,6,0,/tori-nogueira/,Rock
Torugo Teles,2,0,/torugo-teles/,Rock
Trampa,30,0,/trampa/,Rock
Trezalt,1,0,/trezalt/,Rock
Tupiniquin,10,0,/tupiniquin/,Rock
U2,328,21.8,/u2/,Rock
Ã_ltima Tribo,4,0,/ultima-tribo/,Rock
Ultraje A Rigor,90,2.1,/ultraje-a-rigor/,Rock
Van Morrison,496,0.8,/van-morrison/,Rock
Vate Cabal,6,0,/vate-cabal/,Rock
Velhas Virgens,137,2.4,/velhas-virgens/,Rock
Velvet Underground,74,0.5,/velvet-underground/,Rock
Venus CafÃ©,6,0,/venus-cafe/,Rock
Vintage Play,5,0,/vintage-play/,Pop
Vitor de Martinelli,118,0,/vitor-de-martinelli/,Rock
Vock,3,0,/vock/,Rock
Volver,25,0,/volver/,Rock
Warren Zevon,147,0.1,/warren-zevon/,Rock
White Stripes,115,1,/the-white-stripes/,Rock
Wilco,181,0.1,/wilco/,Rock
Within Temptation,130,1.8,/within-temptation/,Rock
Wolfmother,33,0.1,/wolfmother/,Rock
WWE,140,0.3,/wwe/,Rock
Yannick Hara,11,0,/yannick-hara/,Rock
Yes,204,1.4,/yes/,Rock
Yves Klein Blue,6,0,/yves-klein-blue/,Rock
Zereff,1,0,/zereff/,Rock
Zombies Ate My Heart,2,0,/zombies-ate-my-heart/,Rock
Zumzera e Guilherme,5,0,/zumzera-e-guilherme/,Rock
ZZ Top,176,0.5,/zz-top/,Rock
18 K,3,0,/18-k/,Hip Hop
2 Chainz,77,0.2,/2-chainz/,Hip Hop
21 Savage,11,1,/21-savage/,Hip Hop
2Multo,2,0,/2multo/,Hip Hop
3 de Espadas,11,0,/3-de-espadas/,Hip Hop
3Preto,1,0,/3preto/,Hip Hop
3zi,2,0,/3zi/,Funk Carioca
50 Cent,463,17.9,/50-cent/,Hip Hop
A Firma,9,0.1,/a-firma/,Hip Hop
A Fuga,1,0,/a-fuga/,Hip Hop
Afirmativa,1,0,/afirmativa/,Hip Hop
Afrorap System,1,0,/afrorap-system/,Hip Hop
Al-Kimia 47,2,0,/al-kimia-47/,Hip Hop
Aliados da Realidade,3,0,/aliados-da-realidade/,Hip Hop
Alpha Fernandes,2,0,/alpha-fernandes/,Hip Hop
Anamnese,1,0,/anamnese/,Hip Hop
Anderson de Souza,34,0,/anderson-de-souza/,Hip Hop
Ao Cubo,59,2.4,/ao-cubo/,Hip Hop
Arrete,1,0,/arrete/,Hip Hop
Ashanti,162,0.3,/ashanti/,Hip Hop
B. Gizzle,100,0,/b-gizzle/,Hip Hop
B2k,87,0.4,/b2k/,Hip Hop
Bacurau Mc,11,0,/bacurau-mc/,Hip Hop
Bad Meets Evil,23,0.2,/bad-meets-evil/,Hip Hop
Baixada Rap,1,0,/baixada-rap/,Hip Hop
BazaN,2,0,/bazan/,Hip Hop
BeyoncÃ©,249,40.8,/beyonce/,Pop
Blake Lewis,47,0,/blake-lewis/,Pop
Boca do Flow BDF,1,0,/boca-do-flow-bdf/,Hip Hop
Bonde da Stronda,167,3.4,/bonde-da-stronda/,Hip Hop
Bruninho King,5,0,/bruninho-king/,Hip Hop
Bun-b,43,0,/bun-b/,Hip Hop
C4bal,142,0.2,/c4bal/,Hip Hop
Califa Mc's,11,0,/califa-mcs/,Hip Hop
CAMAR,2,0,/camar/,Pop
Cardi B,43,4.3,/cardi-b/,Hip Hop
Carte La,2,0,/carte-la/,Pop
Central6,6,0,/central6/,Hip Hop
Ch3p Mc,4,0,/ch3p-mc/,Hip Hop
Chance The Rapper,26,0.2,/chance-the-rapper/,Hip Hop
Cher Lloyd,57,0.6,/cher-lloyd/,Pop
Cherish,40,0.3,/cherish/,Hip Hop
Chris Webby,11,0,/chris-webby/,Hip Hop
Ciara,139,2.5,/ciara/,Hip Hop
Classe Clandestina,2,0,/classe-clandestina/,Hip Hop
